Name,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Alan,0.0,0.0,6.0,0.0,9.0,10.0,5.0,5.0,6.0,10.0,12.0,9.0,17.0,12.0,11.0,21.0,13.0,19.0,14.0,16.0,27.0,20.0,27.0,25.0,29.0,23.0,28.0,38.0,31.0,45.0,59.0,55.0,102.0,158.0,184.0,238.0,251.0,310.0,333.0,330.0,433.0,380.0,479.0,588.0,626.0,803.0,841.0,815.0,972.0,1108.0,1312.0,1426.0,1346.0,1350.0,1368.0,1425.0,1756.0,1844.0,2240.0,2337.0,2383.0,2630.0,3143.0,3861.0,4284.0,5082.0,6498.0,7841.0,7401.0,7271.0,7748.0,8421.0,8325.0,8451.0,8719.0,9042.0,8733.0,8231.0,8242.0,8170.0,8375.0,8642.0,7737.0,6957.0,6833.0,5639.0,4957.0,4581.0,4008.0,3881.0,3583.0,3183.0,2586.0,2285.0,2246.0,2264.0,2207.0,2147.0,2131.0,2338.0,2690.0,2603.0,2698.0,2781.0,2718.0,2701.0,2664.0,2610.0,2769.0,2740.0,2654.0,2559.0,2619.0,2572.0,2442.0,2300.0,2454.0,2184.0,2142.0,2256.0,2425.0,2651.0,2629.0,3113.0,3079.0,3217.0,3476.0,3253.0,3026.0,2849.0,2512.0,2348.0,2293.0,2609.0,2499.0
Albert,1493.0,1319.0,1504.0,1507.0,1440.0,1435.0,1494.0,1301.0,1582.0,1353.0,1428.0,1216.0,1513.0,1362.0,1459.0,1400.0,1444.0,1385.0,1426.0,1217.0,1753.0,1325.0,1383.0,1343.0,1458.0,1541.0,1478.0,1645.0,1650.0,1826.0,2196.0,2492.0,4601.0,5471.0,6970.0,8858.0,9077.0,9197.0,9979.0,9651.0,10034.0,10201.0,9943.0,9864.0,9930.0,9577.0,9195.0,9213.0,8872.0,8131.0,8002.0,7166.0,6903.0,6120.0,6030.0,6127.0,5792.0,5695.0,5818.0,5506.0,5605.0,5949.0,6525.0,6337.0,5877.0,5458.0,6034.0,6482.0,6182.0,6087.0,5781.0,5788.0,5692.0,5447.0,5475.0,5192.0,5184.0,5054.0,4836.0,4627.0,4623.0,4336.0,4095.0,3915.0,3784.0,3438.0,3313.0,3183.0,2943.0,2959.0,3100.0,2705.0,2541.0,2310.0,2040.0,2027.0,1943.0,1968.0,1822.0,1872.0,1966.0,1951.0,2038.0,1838.0,1894.0,1809.0,1765.0,1784.0,1806.0,1773.0,1834.0,1701.0,1514.0,1440.0,1391.0,1336.0,1308.0,1176.0,1153.0,1115.0,1084.0,1091.0,983.0,951.0,870.0,866.0,858.0,830.0,822.0,728.0,694.0,720.0,722.0,695.0,690.0
Alec,11.0,7.0,8.0,5.0,7.0,9.0,5.0,5.0,9.0,0.0,11.0,6.0,5.0,5.0,6.0,5.0,12.0,6.0,0.0,5.0,15.0,5.0,9.0,7.0,14.0,12.0,6.0,11.0,10.0,15.0,18.0,15.0,21.0,37.0,47.0,57.0,36.0,69.0,59.0,60.0,67.0,69.0,60.0,56.0,50.0,53.0,43.0,54.0,35.0,26.0,37.0,21.0,33.0,32.0,32.0,23.0,28.0,38.0,25.0,30.0,32.0,36.0,39.0,34.0,34.0,36.0,53.0,70.0,56.0,53.0,51.0,55.0,70.0,51.0,42.0,55.0,75.0,76.0,82.0,98.0,101.0,91.0,75.0,77.0,114.0,116.0,118.0,94.0,97.0,94.0,106.0,104.0,87.0,88.0,60.0,80.0,97.0,93.0,96.0,91.0,128.0,132.0,147.0,204.0,259.0,297.0,383.0,452.0,444.0,617.0,994.0,1558.0,1882.0,2115.0,3347.0,3458.0,3332.0,3151.0,3378.0,2904.0,2488.0,2166.0,1754.0,1535.0,1338.0,1134.0,982.0,872.0,779.0,728.0,669.0,658.0,604.0,622.0,616.0
Alejandro,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,6.0,5.0,6.0,8.0,8.0,7.0,0.0,7.0,8.0,11.0,7.0,0.0,9.0,14.0,23.0,24.0,31.0,42.0,37.0,41.0,67.0,70.0,63.0,70.0,58.0,87.0,67.0,88.0,79.0,83.0,102.0,89.0,88.0,81.0,77.0,81.0,62.0,75.0,60.0,64.0,86.0,72.0,60.0,69.0,94.0,87.0,105.0,118.0,133.0,118.0,118.0,148.0,175.0,153.0,160.0,156.0,178.0,213.0,207.0,207.0,204.0,246.0,245.0,261.0,298.0,283.0,312.0,311.0,426.0,521.0,588.0,688.0,701.0,772.0,878.0,1032.0,1086.0,1094.0,1117.0,1252.0,1326.0,1494.0,1519.0,1358.0,1335.0,1479.0,1654.0,1600.0,1630.0,2114.0,2674.0,2810.0,3235.0,3581.0,3503.0,3561.0,3707.0,4027.0,4070.0,4336.0,4539.0,4574.0,4373.0,4335.0,4464.0,4489.0,4559.0,4290.0,4173.0,3443.0,3716.0,3090.0,2728.0,2462.0,2599.0
Alex,147.0,114.0,172.0,120.0,148.0,159.0,161.0,136.0,167.0,127.0,147.0,133.0,163.0,133.0,152.0,143.0,165.0,130.0,149.0,133.0,192.0,138.0,154.0,138.0,169.0,166.0,176.0,186.0,199.0,227.0,256.0,268.0,482.0,604.0,789.0,1019.0,1102.0,1088.0,1215.0,1087.0,1081.0,1030.0,1010.0,945.0,984.0,906.0,814.0,906.0,807.0,792.0,772.0,737.0,690.0,608.0,634.0,587.0,563.0,570.0,608.0,601.0,624.0,641.0,686.0,666.0,626.0,640.0,707.0,806.0,776.0,740.0,758.0,704.0,707.0,728.0,750.0,720.0,817.0,910.0,1031.0,1176.0,1246.0,1240.0,1284.0,1316.0,1257.0,1262.0,1031.0,1143.0,1176.0,1227.0,1421.0,1387.0,1204.0,1274.0,1412.0,1341.0,1385.0,1635.0,1489.0,1670.0,1705.0,1905.0,2009.0,2179.0,3109.0,3986.0,5248.0,6251.0,6669.0,6779.0,7191.0,7041.0,7714.0,8059.0,7632.0,7862.0,7262.0,7177.0,7230.0,7104.0,6981.0,6832.0,7031.0,7011.0,7044.0,6708.0,6900.0,6458.0,5560.0,5332.0,4599.0,4189.0,3975.0,3681.0,3316.0
Alexa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,6.0,0.0,5.0,5.0,10.0,6.0,6.0,7.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,7.0,0.0,0.0,0.0,6.0,8.0,6.0,16.0,20.0,24.0,46.0,48.0,45.0,38.0,55.0,52.0,40.0,33.0,42.0,33.0,53.0,39.0,26.0,34.0,36.0,47.0,34.0,30.0,28.0,33.0,46.0,80.0,75.0,85.0,68.0,92.0,152.0,214.0,212.0,202.0,189.0,176.0,177.0,179.0,222.0,215.0,219.0,215.0,199.0,503.0,830.0,924.0,1310.0,2139.0,2487.0,2240.0,3048.0,3458.0,3359.0,3266.0,3096.0,3622.0,3652.0,3682.0,3909.0,4407.0,4602.0,4465.0,4672.0,6118.0,5790.0,5233.0,5311.0,5043.0,4511.0,4288.0,4099.0,4234.0
Alexander,211.0,209.0,225.0,187.0,236.0,205.0,206.0,180.0,237.0,185.0,202.0,172.0,202.0,218.0,199.0,199.0,232.0,172.0,180.0,178.0,261.0,162.0,216.0,195.0,203.0,210.0,204.0,279.0,246.0,260.0,324.0,426.0,803.0,942.0,1176.0,1443.0,1593.0,1670.0,1597.0,1429.0,1482.0,1531.0,1359.0,1299.0,1387.0,1229.0,1151.0,1102.0,1057.0,995.0,877.0,792.0,783.0,661.0,621.0,700.0,618.0,676.0,672.0,723.0,761.0,818.0,861.0,923.0,865.0,895.0,973.0,1079.0,1131.0,1193.0,1172.0,1211.0,1296.0,1262.0,1237.0,1182.0,1241.0,1265.0,1198.0,1176.0,1217.0,1239.0,1234.0,1313.0,1301.0,1340.0,1378.0,1474.0,1791.0,2049.0,2491.0,2385.0,2140.0,2290.0,2407.0,2471.0,2479.0,2741.0,2783.0,3096.0,3324.0,4295.0,4666.0,4879.0,6601.0,8433.0,10801.0,12040.0,13657.0,14754.0,16404.0,17828.0,20271.0,20701.0,20260.0,19589.0,18051.0,17190.0,17545.0,17509.0,17343.0,16763.0,17790.0,17760.0,18030.0,18171.0,18264.0,18166.0,18723.0,18249.0,16785.0,15715.0,15237.0,14880.0,15326.0
Alexandra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,8.0,0.0,9.0,7.0,9.0,6.0,9.0,10.0,13.0,22.0,15.0,35.0,49.0,45.0,46.0,47.0,45.0,36.0,50.0,34.0,43.0,40.0,39.0,40.0,40.0,29.0,24.0,33.0,17.0,27.0,41.0,48.0,45.0,53.0,47.0,66.0,67.0,64.0,67.0,121.0,124.0,120.0,116.0,132.0,148.0,129.0,152.0,116.0,136.0,163.0,142.0,166.0,159.0,171.0,174.0,175.0,193.0,203.0,213.0,219.0,236.0,293.0,305.0,315.0,387.0,522.0,557.0,634.0,585.0,636.0,686.0,713.0,737.0,701.0,751.0,768.0,835.0,885.0,1211.0,1540.0,1710.0,2835.0,3036.0,3832.0,5252.0,7009.0,7775.0,8557.0,9483.0,10257.0,10714.0,10254.0,10185.0,10050.0,8768.0,8622.0,8186.0,7560.0,7065.0,6952.0,6565.0,6647.0,6331.0,6116.0,5363.0,4616.0,4164.0,4027.0,3623.0,3478.0,3509.0,3288.0
Alexandria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,7.0,10.0,0.0,7.0,6.0,13.0,16.0,12.0,17.0,25.0,31.0,33.0,38.0,37.0,43.0,44.0,37.0,39.0,31.0,44.0,34.0,33.0,38.0,27.0,32.0,26.0,27.0,12.0,14.0,14.0,11.0,19.0,18.0,23.0,19.0,25.0,22.0,29.0,34.0,29.0,25.0,37.0,29.0,33.0,50.0,37.0,31.0,46.0,32.0,39.0,46.0,33.0,63.0,39.0,46.0,37.0,50.0,52.0,53.0,69.0,51.0,69.0,82.0,89.0,86.0,125.0,135.0,148.0,137.0,130.0,157.0,147.0,146.0,144.0,194.0,187.0,242.0,555.0,599.0,550.0,857.0,861.0,1131.0,1569.0,2285.0,3085.0,3608.0,4479.0,4817.0,5040.0,4851.0,4781.0,4562.0,4233.0,4014.0,3794.0,3555.0,3409.0,3144.0,2758.0,2659.0,2455.0,2332.0,2196.0,1790.0,1638.0,1509.0,1524.0,1515.0,1555.0,1589.0
Alexis,0.0,0.0,6.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,8.0,14.0,6.0,14.0,14.0,20.0,19.0,13.0,18.0,19.0,19.0,9.0,17.0,14.0,18.0,13.0,11.0,8.0,11.0,8.0,17.0,11.0,13.0,11.0,9.0,0.0,12.0,5.0,13.0,7.0,12.0,52.0,99.0,147.0,137.0,237.0,264.0,231.0,291.0,248.0,272.0,279.0,243.0,210.0,204.0,227.0,228.0,232.0,217.0,234.0,223.0,230.0,239.0,190.0,271.0,289.0,324.0,284.0,338.0,480.0,501.0,533.0,643.0,781.0,895.0,906.0,965.0,1025.0,1341.0,1618.0,1991.0,3883.0,4121.0,3765.0,3034.0,2623.0,2934.0,3318.0,4063.0,5991.0,7764.0,8714.0,11929.0,14324.0,16210.0,18382.0,20354.0,22093.0,21666.0,20341.0,19164.0,18012.0,17577.0,17640.0,15011.0,14419.0,12554.0,12053.0,11940.0,9870.0,7991.0,6896.0,5944.0,5360.0
Alfred,469.0,466.0,523.0,457.0,520.0,446.0,480.0,468.0,536.0,472.0,549.0,499.0,542.0,530.0,521.0,551.0,527.0,513.0,651.0,503.0,640.0,506.0,597.0,557.0,607.0,591.0,637.0,743.0,739.0,763.0,927.0,1163.0,2224.0,2588.0,3361.0,4247.0,4294.0,4446.0,4891.0,4642.0,5033.0,4954.0,4858.0,5026.0,4954.0,4826.0,4765.0,4787.0,6285.0,4970.0,4591.0,3985.0,3920.0,3283.0,3175.0,3133.0,3271.0,3196.0,3027.0,3002.0,3078.0,3068.0,3415.0,3458.0,3063.0,2904.0,3244.0,3430.0,3260.0,3204.0,3241.0,3212.0,3147.0,3135.0,3063.0,2981.0,2953.0,2836.0,2723.0,2568.0,2421.0,2299.0,2149.0,2000.0,1976.0,1664.0,1619.0,1644.0,1504.0,1511.0,1426.0,1384.0,1177.0,1085.0,990.0,954.0,911.0,960.0,908.0,845.0,872.0,823.0,840.0,816.0,748.0,675.0,682.0,687.0,721.0,642.0,642.0,582.0,570.0,524.0,458.0,449.0,423.0,378.0,371.0,338.0,348.0,345.0,284.0,274.0,267.0,280.0,281.0,301.0,278.0,262.0,225.0,219.0,212.0,207.0,284.0
Alice,1414.0,1315.0,1542.0,1494.0,1732.0,1690.0,1821.0,1829.0,2207.0,2154.0,2281.0,2024.0,2381.0,2445.0,2419.0,2465.0,2665.0,2448.0,2858.0,2530.0,3067.0,2572.0,3147.0,3005.0,3140.0,3626.0,4212.0,4121.0,4281.0,4185.0,4686.0,4827.0,6308.0,6957.0,8227.0,10552.0,10749.0,11015.0,11624.0,11169.0,11624.0,11991.0,11303.0,11358.0,11579.0,11622.0,11002.0,10720.0,10176.0,9524.0,9568.0,8858.0,8584.0,7734.0,7817.0,7483.0,7235.0,7165.0,7518.0,7400.0,7635.0,7485.0,7412.0,7679.0,7130.0,6383.0,7382.0,7867.0,6997.0,6671.0,6375.0,6334.0,5932.0,5769.0,5275.0,5082.0,4689.0,4454.0,4146.0,4166.0,4060.0,3594.0,3265.0,3077.0,2847.0,2582.0,2229.0,1934.0,1737.0,1723.0,1620.0,1511.0,1206.0,1187.0,1191.0,1060.0,959.0,858.0,799.0,786.0,738.0,745.0,754.0,705.0,686.0,675.0,706.0,769.0,826.0,755.0,771.0,723.0,686.0,689.0,594.0,579.0,592.0,578.0,593.0,650.0,668.0,631.0,654.0,699.0,755.0,753.0,843.0,949.0,1023.0,1273.0,1778.0,2191.0,2500.0,2928.0,3042.0
